Date,Open,High,Low,Close,Adj Close,Volume
2011-06-13,34.006939,34.245445,33.300087,33.555943,29.712044,1157843
2011-06-14,33.915871,34.735474,33.876842,34.687771,30.714222,1819203
2011-06-15,34.202084,34.531658,34.171726,34.267128,30.341766,2778730
2011-06-16,34.258457,34.973980,33.846485,34.345184,30.410879,3225633
2011-06-17,34.835213,34.986992,34.340851,34.362534,30.426241,1796835
2011-06-20,34.314831,34.934952,34.314831,34.891586,30.894690,1198198
2011-06-21,35.082394,35.654816,34.986992,35.576756,31.501377,1288362
2011-06-22,35.364265,35.888985,35.364265,35.576756,31.501377,1174215
2011-06-23,34.960972,35.407631,34.522984,35.372940,31.320904,986737
2011-06-24,35.459671,36.300953,35.437988,36.036427,31.908384,2813089
2011-06-27,35.936687,36.227234,35.563747,36.032089,31.904551,931163
2011-06-28,36.118820,36.617519,36.027756,36.595837,32.462326,795109
2011-06-29,36.756287,37.250648,36.587166,37.124893,32.931625,2116908
2011-06-30,37.294018,37.337379,36.695576,37.302689,33.089344,1465232
2011-07-01,37.307026,38.152645,37.237640,37.957500,33.670193,1757633
2011-07-05,37.927147,38.464874,37.775368,38.178665,33.866356,1231635
2011-07-06,38.169991,38.694710,38.018211,38.321770,33.993309,1167067
2011-07-07,38.625324,38.950565,38.499565,38.738075,34.362591,1085665
2011-07-08,38.200348,38.594971,38.013878,38.469212,34.124084,973363
2011-07-11,37.779705,38.204681,37.458801,37.692974,33.435524,1036778
2011-07-12,37.601910,38.026886,37.584560,37.714657,33.454773,970595
2011-07-13,37.922810,38.343452,37.857761,37.948830,33.662483,845841
2011-07-14,38.013878,38.152645,37.337379,37.558544,33.316296,1077594
2011-07-15,37.705982,37.935822,37.454468,37.909801,33.627861,1002418
2011-07-18,37.710320,37.836079,37.094536,37.320034,33.104725,992041
2011-07-19,37.467476,38.347790,37.454468,38.269730,33.947140,1260921
2011-07-20,38.256721,38.725063,38.165653,38.660015,34.293354,1388443
2011-07-21,39.028622,40.329575,38.872505,40.268864,35.720478,3329633
2011-07-22,40.294884,40.299217,39.705116,39.757156,35.266560,1495672
2011-07-25,39.371204,40.160450,39.327839,39.865566,35.362732,821858
2011-07-26,40.008675,40.065048,39.540329,39.627060,35.151161,878586
2011-07-27,39.566349,39.722462,38.434521,38.434521,34.093323,1570617
2011-07-28,38.512577,38.855160,38.248051,38.326107,33.997162,2128899
2011-07-29,37.771030,38.386818,37.480488,37.974850,33.685577,2159338
2011-08-01,38.712055,39.111015,37.588898,38.313095,33.985603,2588716
2011-08-02,36.769299,37.606243,35.698177,35.797916,31.754515,3676917
2011-08-03,35.806591,36.231571,34.778839,35.993061,31.927626,3108719
2011-08-04,35.464008,35.464008,33.694710,33.707718,29.900423,3021782
2011-08-05,34.223763,34.527321,32.632263,33.673027,29.869640,2351889
2011-08-08,32.692974,33.100609,30.442324,30.481354,27.038475,2738836
2011-08-09,31.157848,32.285343,30.121422,32.250648,28.607920,3411496
2011-08-10,31.812662,32.272331,30.750217,30.810928,27.330818,2003683
2011-08-11,31.136168,32.870773,31.127493,32.307026,28.657930,2714162
2011-08-12,32.640938,32.732002,32.098873,32.567215,28.888735,3027317
2011-08-15,32.844753,33.065914,32.376408,32.766697,29.065680,2594942
2011-08-16,32.250648,32.372074,31.548136,31.869038,28.269411,2402391
2011-08-17,32.228970,32.415440,31.548136,31.613182,28.042459,2134434
2011-08-18,30.624458,30.667824,29.258455,29.566349,26.226822,2711856
2011-08-19,29.154381,29.995663,29.050304,29.093670,25.807529,1923665
2011-08-22,29.744146,29.861233,28.872507,28.946226,25.676743,1628728
2011-08-23,29.119688,30.459669,28.937553,30.459669,27.019243,1685225
2011-08-24,30.320902,30.871639,30.156115,30.854294,27.369289,1319493
2011-08-25,31.045099,31.192541,30.242846,30.520382,27.073092,1375298
2011-08-26,30.117086,31.487425,29.657415,31.452732,27.900131,1268761
2011-08-29,31.864700,32.233303,31.799652,32.228970,28.588697,1791762
2011-08-30,32.042500,33.018211,31.908066,32.844753,29.134918,1614661
2011-08-31,33.117954,33.330441,32.701649,32.927147,29.208014,1748870
2011-09-01,32.862099,33.226364,32.333042,32.380745,28.723324,1118410
2011-09-02,31.552471,31.925411,31.322638,31.461405,27.907825,787038
2011-09-06,30.459669,31.179531,30.355595,31.097137,27.584703,871899
2011-09-07,31.673895,32.168259,31.613182,32.120556,28.492519,953992
2011-09-08,31.782307,32.350391,31.552471,31.669558,28.092466,1173293
2011-09-09,31.248917,31.357328,30.563747,30.845619,27.361591,1701597
2011-09-12,30.403296,30.958368,29.947962,30.537727,27.088476,1223794
2011-09-13,30.706852,31.461405,30.516045,31.357328,27.815506,1107341
2011-09-14,31.448395,32.866436,30.810928,32.428448,28.765642,1625961
2011-09-15,32.762360,33.183002,32.502167,33.148308,29.404198,1467538
2011-09-16,33.365135,33.612316,33.018211,33.473549,29.692705,1809979
2011-09-19,32.740677,33.404163,32.181267,33.243713,29.488819,1462465
2011-09-20,33.456200,33.885517,33.139637,33.143970,29.400345,1715895
2011-09-21,33.061577,33.421509,31.587164,31.591499,28.023222,1194739
2011-09-22,30.234173,30.680834,29.449263,29.800520,26.434538,2740912
2011-09-23,29.640068,30.667824,29.418907,29.848223,26.476854,1673695
2011-09-26,30.039028,30.563747,29.358196,30.546400,27.096170,1546634
2011-09-27,31.487425,32.935822,31.348656,32.398090,28.738716,2169715
2011-09-28,32.437122,32.437122,31.257589,31.313965,27.832922,2206381
2011-09-29,32.150909,32.150909,30.281874,31.079792,27.624784,1342553
2011-09-30,30.433651,30.910667,29.969645,29.991327,26.657318,1416345
2011-10-03,29.670425,30.268864,28.542931,28.547268,25.373793,2350736
2011-10-04,28.074589,29.271465,27.671291,29.150043,25.909554,2775963
2011-10-05,29.280140,30.208153,28.959236,30.078056,26.734406,2264492
2011-10-06,30.056376,31.170858,29.557676,30.967043,27.524570,1449090
2011-10-07,31.088465,31.405029,30.420643,30.797918,27.374243,1206269
2011-10-10,31.500435,32.189938,31.387684,32.181267,28.603809,1330101
2011-10-11,31.812662,32.441456,31.812662,32.194275,28.615370,828546
2011-10-12,32.554207,33.187336,32.359062,32.701649,29.066341,1028245
2011-10-13,32.380745,32.666958,32.025150,32.476151,28.865915,646141
2011-10-14,32.055508,33.382481,32.055508,33.378143,29.667637,789574
2011-10-17,33.148308,33.148308,32.211620,32.315697,28.723293,1421649
2011-10-18,32.211620,33.516911,31.799652,33.343452,29.636803,1363999
2011-10-19,33.143970,33.204681,32.081528,32.215958,28.634636,1402740
